country,population,area_square_km,density_square_km,average_years_of_school,auto_demo_polity,gdp_per_capita,happiness_index,freedom_index,less_corruption_index,life_expectancy_years,inequality_gini,median_household_income_dollars,median_per_capita_income_dollars,median_individual_income_dollars
Madagascar,28427.328,587041,48.4248,3.38,6.0,1508.811,3.681,0.19184,0.08124,65.539,42.6,1013.0,205.0,11480.0
Cameroon,27224.265,475442,57.261,1.29,-4.0,3044.9385,4.252,0.49309,0.05786,57.583,46.5,2075.0,403.0,1500.0
Australia,25788.215,7692024,3.3526,9.35,10.0,44831.477,7.284,0.65124,0.35637,82.794,34.4,46555.0,15026.0,54910.0
Niger,25130.817,1267000,19.8349,0.41,6.0,926.13824,3.845,0.47692,0.15639,60.631,34.3,2708.0,307.0,11480.0
Taiwan,23855.01,36193,659.1056,3.76,10.0,41680.609,6.298,0.3974,0.08129,79.743,33.6,32762.0,6882.0,11480.0
Sri Lanka,21497.31,65610,327.6529,5.33,6.0,11870.992,4.271,0.53726,0.09179,76.316,39.8,3242.0,719.0,11480.0
Burkina Faso,21497.096,272967,78.7535,3.38,6.0,1520.5468,3.587,0.39493,0.12832,59.919,35.3,1530.0,168.0,11480.0
Mali,20855.735,1240192,16.8165,0.2,5.0,2114.3528,3.995,0.38857,0.12352,57.509,40.1,1983.0,165.0,11480.0
Chile,19212.361,756102,25.4097,5.8,10.0,22323.102,6.67,0.44132,0.12869,79.646,44.4,8098.0,2040.0,15010.0
Romania,19127.774,238391,80.237,6.05,9.0,20281.779,5.124,0.35068,0.00649,75.476,36.0,7922.0,2618.0,12630.0
Kazakhstan,18994.962,2724900,6.9709,4.46,-6.0,21445.693,5.855,0.51649,0.08454,71.319,27.5,7492.0,1958.0,11480.0
Zambia,18920.651,752612,25.14,2.84,7.0,3611.5083,5.129,0.48827,0.12468,61.737,57.1,1501.0,287.0,11480.0
Guatemala,18249.86,108889,167.6006,1.35,8.0,7073.6602,6.123,0.57733,0.09472,73.25,48.3,4516.0,898.0,11480.0
Ecuador,17888.475,276841,64.6164,3.87,5.0,10089.984,5.975,0.48574,0.1809,76.143,45.4,6858.0,1682.0,6080.0
Senegal,17196.301,196722,87.4142,2.12,7.0,3039.9907,3.904,0.36772,0.10713,66.747,40.3,3897.0,402.0,11480.0
Netherlands,17173.099,41850,410.3488,8.03,10.0,45060.969,7.378,0.61576,0.31814,81.715,28.5,38584.0,14450.0,53200.0
Cambodia,16946.438,181035,93.6086,1.24,2.0,3165.2534,3.819,0.66246,0.07247,68.637,37.9,2308.0,451.0,1480.0
Chad,16914.985,1284000,13.1737,3.38,-2.0,1650.5304,3.667,0.23501,0.05269,53.137,43.3,2394.0,338.0,11480.0
Rwanda,13276.513,26338,504.082,0.69,-3.0,1854.9935,3.465,0.59201,0.55191,67.45,43.7,1101.0,235.0,11480.0
Benin,12451.04,112622,110.556,0.63,7.0,2146.1763,3.34,0.4845,0.0801,60.608,47.8,1502.0,237.0,11480.0
Burundi,12255.433,27834,440.3044,0.67,-1.0,794.48755,2.905,0.1185,0.10062,60.123,38.6,673.0,129.0,11480.0
Tunisia,11935.766,163610,72.9525,1.0,7.0,10695.636,4.739,0.26268,0.06358,75.922,32.8,8966.0,1646.0,11480.0
Bolivia,11832.94,1098581,10.7711,3.27,7.0,5533.6431,5.89,0.57414,0.088,70.277,42.2,6399.0,1403.0,3530.0
Belgium,11632.326,30528,381.0379,7.19,8.0,36975.871,6.937,0.5845,0.2254,80.969,27.4,26703.0,10189.0,47350.0
Haiti,11541.685,27750,415.9166,0.9,0.0,1649.2759,4.518,0.24425,0.17175,62.485,41.1,2735.0,627.0,11480.0
Dominican Republic,10953.703,48671,225.056,3.04,8.0,13594.711,4.885,0.57672,0.14234,73.241,43.7,6302.0,1623.0,11480.0
Greece,10370.744,131990,78.5722,6.04,10.0,23185.998,4.857,0.07699,0.01397,81.548,34.4,17777.0,6086.0,20320.0
Jordan,10269.021,89342,114.9406,2.25,-3.0,9319.7822,5.192,0.40661,0.14293,74.078,33.7,8276.0,1550.0,11480.0
Azerbaijan,10223.342,86600,118.0524,3.38,-7.0,14372.97,5.212,0.3703,0.16065,72.266,33.7,11446.0,2430.0,11480.0
Portugal,10167.925,92090,110.4129,2.49,10.0,26448.623,5.102,0.51469,0.01078,81.224,33.8,16186.0,5519.0,23080.0
Sweden,10160.169,450295,22.5634,7.96,10.0,42113.523,7.364,0.6598,0.43844,82.251,28.8,50514.0,18632.0,55840.0
Honduras,10062.991,112492,89.4552,1.91,7.0,4054.6255,4.788,0.40148,0.06825,74.495,52.1,4848.0,821.0,11480.0
United Arab Emirates,9991.089,83600,119.5106,2.39,-8.0,67469.648,6.901,0.64157,0.38583,77.285,32.5,7437.5,1790.5,43470.0
Tajikistan,9749.627,143100,68.1316,5.63,-3.0,3585.1738,4.786,0.47216,0.15072,70.137,34.0,5137.0,713.0,11480.0
Hungary,9634.164,93028,103.562,7.82,10.0,21740.682,4.8,0.32112,0.02758,76.006,30.6,12445.0,4493.0,16140.0
Belarus,9442.862,207600,45.4858,3.38,-7.0,16681.652,5.813,0.37938,0.1909,73.652,25.2,15085.0,5236.0,6280.0
Austria,9043.07,83871,107.8212,7.63,10.0,44626.293,7.2,0.62433,0.18676,81.182,29.7,34911.0,12284.0,51300.0
